season,race,meeting_key,session_key,sc_count,vsc_count,red_flag_count,yellow_flag_count,dnf_VER,dnf_PER,dnf_ALO,dnf_SAI,dnf_HAM,dnf_STR,dnf_RUS,dnf_BOT,dnf_GAS,dnf_ALB,dnf_TSU,dnf_SAR,dnf_MAG,dnf_DEV,dnf_HUL,dnf_ZHO,dnf_NOR,dnf_OCO,dnf_LEC,dnf_PIA,dnf_RIC,dnf_LAW,dnf_COL,dnf_BEA,dnf_DOO,dnf_ANT,dnf_BOR,dnf_HAD
2023,Sakhir,1141,7953,0,1,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Jeddah,1142,7779,2,0,1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Melbourne,1143,7787,5,1,5,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Baku,1207,9070,2,0,1,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Imola,1209,9086,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Monte Carlo,1210,9094,0,0,1,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Catalunya,1211,9102,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Montreal,1212,9110,3,1,1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Spielberg,1213,9118,3,1,1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Silverstone,1214,9126,2,1,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2023,Hungaroring,1215,9133,0,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2023,Spa-Francorchamps,1216,9141,0,0,1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2023,Zandvoort,1217,9149,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Monza,1218,9157,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,
2023,Singapore,1219,9165,2,1,1,16,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,
2023,Suzuka,1220,9173,5,1,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,
2023,Lusail,1221,9221,2,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Mexico City,1223,9181,3,1,2,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2023,Interlagos,1224,9205,3,0,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2023,Las Vegas,1225,9189,4,1,1,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2023,Yas Marina Circuit,1226,9197,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024,Melbourne,1231,9488,0,2,1,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
