sc_count,vsc_count,red_flag_count,yellow_flag_count,has_race_control,season,session_key,meeting_name,circuit_short_name,race_key
1,0,1,5,1,2023,7779,Saudi Arabian Grand Prix,Jeddah,jeddah
4,1,5,12,1,2023,7787,Australian Grand Prix,Melbourne,melbourne
0,1,1,4,1,2023,7953,Bahrain Grand Prix,Sakhir,sakhir
1,0,1,12,1,2023,9070,Azerbaijan Grand Prix,Baku,baku
0,0,1,2,1,2023,9078,Miami Grand Prix,Miami,miami
0,0,1,26,1,2023,9094,Monaco Grand Prix,Monte Carlo,monte carlo
0,0,1,0,1,2023,9102,Spanish Grand Prix,Catalunya,catalunya
2,1,1,9,1,2023,9110,Canadian Grand Prix,Montreal,montreal
2,1,1,5,1,2023,9118,Austrian Grand Prix,Spielberg,spielberg
1,1,1,3,1,2023,9126,British Grand Prix,Silverstone,silverstone
0,0,1,3,1,2023,9133,Hungarian Grand Prix,Hungaroring,hungaroring
0,0,1,9,1,2023,9141,Belgian Grand Prix,Spa-Francorchamps,spa francorchamps
3,1,2,8,1,2023,9149,Dutch Grand Prix,Zandvoort,zandvoort
0,0,0,2,1,2023,9157,Italian Grand Prix,Monza,monza
1,1,1,16,1,2023,9165,Singapore Grand Prix,Singapore,singapore
4,1,1,8,1,2023,9173,Japanese Grand Prix,Suzuka,suzuka
3,1,2,17,1,2023,9181,Mexico City Grand Prix,Mexico City,mexico city
2,1,1,11,1,2023,9189,Las Vegas Grand Prix,Las Vegas,las vegas
0,0,1,1,1,2023,9197,Abu Dhabi Grand Prix,Yas Marina Circuit,yas marina circuit
3,0,2,4,1,2023,9205,São Paulo Grand Prix,Interlagos,interlagos
0,0,1,3,1,2023,9213,United States Grand Prix,Austin,austin
1,0,1,3,1,2023,9221,Qatar Grand Prix,Lusail,lusail
