session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9683,Practice,Day 1,2025-02-26T07:00:00+00:00,2025-02-26T16:00:00+00:00,1253,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
9684,Practice,Day 2,2025-02-27T07:00:00+00:00,2025-02-27T16:00:00+00:00,1253,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
9685,Practice,Day 3,2025-02-28T07:00:00+00:00,2025-02-28T16:00:00+00:00,1253,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
9686,Practice,Practice 1,2025-03-14T01:30:00+00:00,2025-03-14T02:30:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9687,Practice,Practice 2,2025-03-14T05:00:00+00:00,2025-03-14T06:00:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9688,Practice,Practice 3,2025-03-15T01:30:00+00:00,2025-03-15T02:30:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9689,Qualifying,Qualifying,2025-03-15T05:00:00+00:00,2025-03-15T06:00:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9693,Race,Race,2025-03-16T04:00:00+00:00,2025-03-16T06:00:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9988,Practice,Practice 1,2025-03-21T03:30:00+00:00,2025-03-21T04:30:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
9989,Qualifying,Sprint Qualifying,2025-03-21T07:30:00+00:00,2025-03-21T08:14:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
9993,Race,Sprint,2025-03-22T03:00:00+00:00,2025-03-22T04:00:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
9994,Qualifying,Qualifying,2025-03-22T07:00:00+00:00,2025-03-22T08:00:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
9998,Race,Race,2025-03-23T07:00:00+00:00,2025-03-23T09:00:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
9999,Practice,Practice 1,2025-04-04T02:30:00+00:00,2025-04-04T03:30:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10000,Practice,Practice 2,2025-04-04T06:00:00+00:00,2025-04-04T07:00:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10001,Practice,Practice 3,2025-04-05T02:30:00+00:00,2025-04-05T03:30:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10002,Qualifying,Qualifying,2025-04-05T06:00:00+00:00,2025-04-05T07:00:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10006,Race,Race,2025-04-06T05:00:00+00:00,2025-04-06T07:00:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10007,Practice,Practice 1,2025-04-11T11:30:00+00:00,2025-04-11T12:30:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10008,Practice,Practice 2,2025-04-11T15:00:00+00:00,2025-04-11T16:00:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10009,Practice,Practice 3,2025-04-12T12:30:00+00:00,2025-04-12T13:30:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10010,Qualifying,Qualifying,2025-04-12T16:00:00+00:00,2025-04-12T17:00:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10014,Race,Race,2025-04-13T15:00:00+00:00,2025-04-13T17:00:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10015,Practice,Practice 1,2025-04-18T13:30:00+00:00,2025-04-18T14:30:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10016,Practice,Practice 2,2025-04-18T17:00:00+00:00,2025-04-18T18:00:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10017,Practice,Practice 3,2025-04-19T13:30:00+00:00,2025-04-19T14:30:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10018,Qualifying,Qualifying,2025-04-19T17:00:00+00:00,2025-04-19T18:00:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10022,Race,Race,2025-04-20T17:00:00+00:00,2025-04-20T19:00:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10023,Practice,Practice 1,2025-05-02T16:30:00+00:00,2025-05-02T17:30:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
10024,Qualifying,Sprint Qualifying,2025-05-02T20:30:00+00:00,2025-05-02T21:14:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
10028,Race,Sprint,2025-05-03T16:00:00+00:00,2025-05-03T16:30:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
10029,Qualifying,Qualifying,2025-05-03T20:00:00+00:00,2025-05-03T21:00:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
10033,Race,Race,2025-05-04T20:00:00+00:00,2025-05-04T22:00:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
