position,driver_number,lap_duration,meeting_key,session_key,session_name,season,meeting_name,circuit_short_name,date_start,race_key,driver,driver_full_name,team_name
1,1,89.708,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
2,11,89.846,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
3,16,90.0,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
4,55,90.154,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
5,14,90.336,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
6,63,90.34,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
7,44,90.384,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
8,18,90.836,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
9,31,90.984,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
10,27,,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
11,4,91.381,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
12,77,91.443,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
13,24,91.473,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
14,22,92.51,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
15,23,,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
16,2,91.652,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
17,20,91.892,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
18,81,92.101,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
19,21,92.121,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
20,10,92.181,1141,7768,Qualifying,2023,Bahrain Grand Prix,Sakhir,2023-03-04T15:00:00+00:00,sakhir,,,
1,11,88.265,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
2,14,88.73,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
3,63,88.857,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
4,55,88.931,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
5,18,88.945,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
6,31,89.078,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
7,44,89.223,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
8,81,89.243,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
9,10,89.357,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
10,27,89.451,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
11,24,89.461,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
12,16,88.42,1142,7775,Qualifying,2023,Saudi Arabian Grand Prix,Jeddah,2023-03-18T17:00:00+00:00,jeddah,,,
