meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1225,9189,2023-11-19T05:57:18+00:00,,1,Drs,,,,,DRS DISABLED
1225,9189,2023-11-19T06:04:05+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1225,9189,2023-11-19T06:04:05.009000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1225,9189,2023-11-19T06:04:18+00:00,,1,Flag,YELLOW,Sector,2.0,,YELLOW IN TRACK SECTOR 2
1225,9189,2023-11-19T06:04:23+00:00,,1,Flag,CLEAR,Sector,2.0,,CLEAR IN TRACK SECTOR 2
1225,9189,2023-11-19T06:04:31+00:00,,1,Flag,YELLOW,Sector,2.0,,YELLOW IN TRACK SECTOR 2
1225,9189,2023-11-19T06:04:40+00:00,,1,Flag,CLEAR,Sector,2.0,,CLEAR IN TRACK SECTOR 2
1225,9189,2023-11-19T06:04:53+00:00,,1,Other,,,,,LAP 1 TURN 1 NOTED
1225,9189,2023-11-19T06:05:49+00:00,,1,SafetyCar,,,,,VIRTUAL SAFETY CAR DEPLOYED
1225,9189,2023-11-19T06:07:46+00:00,,2,SafetyCar,,,,,VIRTUAL SAFETY CAR ENDING
1225,9189,2023-11-19T06:07:58+00:00,,2,Flag,CLEAR,Track,,,TRACK CLEAR
1225,9189,2023-11-19T06:08:40+00:00,,3,Drs,,,,,DRS ENABLED
1225,9189,2023-11-19T06:09:05+00:00,,3,Other,,,,,FIA STEWARDS: LAP 1 TURN 1 UNDER INVESTIGATION
1225,9189,2023-11-19T06:09:18+00:00,,3,Flag,DOUBLE YELLOW,Sector,14.0,,DOUBLE YELLOW IN TRACK SECTOR 14
1225,9189,2023-11-19T06:09:27+00:00,,3,SafetyCar,,,,,SAFETY CAR DEPLOYED
1225,9189,2023-11-19T06:13:40+00:00,,5,Other,,,,,CAR 11 (PER) TIME 2:45.405 DELETED - TRACK LIMITS AT TURN 8 LAP 4 22:11:21
