position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,55,62,25.0,False,False,False,6397.418,0.0,1219,9165
2.0,4,62,18.0,False,False,False,6398.23,0.812,1219,9165
3.0,44,62,16.0,False,False,False,6398.687,1.269,1219,9165
4.0,16,62,12.0,False,False,False,6418.595,21.177,1219,9165
5.0,1,62,10.0,False,False,False,6418.859,21.441,1219,9165
6.0,10,62,8.0,False,False,False,6435.859,38.441,1219,9165
7.0,81,62,6.0,False,False,False,6438.897,41.479,1219,9165
8.0,11,62,4.0,False,False,False,6456.952,59.534,1219,9165
9.0,40,62,2.0,False,False,False,6463.336,65.918,1219,9165
10.0,20,62,1.0,False,False,False,6469.534,72.116,1219,9165
11.0,23,62,0.0,False,False,False,6470.835,73.417,1219,9165
12.0,24,62,0.0,False,False,False,6481.067,83.649,1219,9165
13.0,27,62,0.0,False,False,False,6483.619,86.201,1219,9165
14.0,2,62,0.0,False,False,False,6484.307,86.889,1219,9165
15.0,14,62,0.0,False,False,False,6485.021,87.603,1219,9165
16.0,63,61,0.0,True,False,False,,,1219,9165
,77,51,0.0,True,False,False,,,1219,9165
,31,42,0.0,True,False,False,,,1219,9165
,22,0,0.0,True,False,False,,,1219,9165
