position,driver_number,lap_duration,meeting_key,session_key
1,1,83.445,1226,9193
2,16,83.584,1226,9193
3,81,83.782,1226,9193
4,63,83.788,1226,9193
5,4,83.816,1226,9193
6,22,83.968,1226,9193
7,14,84.084,1226,9193
8,27,84.108,1226,9193
9,11,84.171,1226,9193
10,10,84.548,1226,9193
11,44,84.359,1226,9193
12,31,84.391,1226,9193
13,18,84.422,1226,9193
14,23,84.439,1226,9193
15,3,84.442,1226,9193
16,55,84.738,1226,9193
17,20,84.764,1226,9193
18,77,84.788,1226,9193
19,24,85.159,1226,9193
20,2,,1226,9193
